county,wilson1912,wilson1916,beach,machine,mayhew,attack,coastal
ATLANTIC,0.36045312881469727,0.36012208461761475,1,0,0,0,1
BERGEN,0.42121848464012146,0.3835897445678711,0,1,0,0,1
BURLINGTON,0.4130434989929199,0.4256618916988373,0,0,0,0,0
CAMDEN,0.3939720094203949,0.4330543875694275,0,0,1,0,1
CAPE MAY,0.4350515604019165,0.41938772797584534,1,0,0,0,1
CUMBERLAND,0.39153438806533813,0.44574469327926636,0,0,0,0,1
ESSEX,0.3417190611362457,0.38969072699546814,0,1,1,0,1
GLOUCESTER,0.4040084183216095,0.41201716661453247,0,0,0,0,1
HUDSON,0.5514705777168274,0.512269914150238,0,1,1,0,1
HUNTERDON,0.5443425178527832,0.5669371485710144,0,0,0,0,0
MERCER,0.3817427456378937,0.42769232392311096,0,0,1,0,0
MIDDLESEX,0.45501023530960083,0.4568527936935425,0,0,1,0,1
MONMOUTH,0.4959183633327484,0.47979798913002014,1,0,0,1,1
MORRIS,0.42033541202545166,0.4435318410396576,0,0,0,0,0
OCEAN,0.384458065032959,0.3801819980144501,1,0,0,1,1
PASSAIC,0.3881579041481018,0.415433406829834,0,0,1,0,0
SALEM,0.46351489424705505,0.45102041959762573,0,0,0,0,1
SOMERSET,0.43279021978378296,0.436804860830307,0,0,0,0,0
SUSSEX,0.5435004830360413,0.556690514087677,0,0,0,0,0
UNION,0.4117647111415863,0.3820459246635437,0,1,0,0,1
WARREN,0.5769633054733276,0.6191467046737671,0,0,0,0,0
